표준코드,단축코드,한글 종목명,한글 종목약명,영문 종목명,상장일,시장구분,증권구분,소속부,주식종류,액면가,상장주식수
"KR7115450009","115450","에이치엘비테라퓨틱스","HLB테라퓨틱스","HLB Therapeutics","2010/03/26","KOSDAQ","주권","중견기업부","보통주","500","79249138"
"KR7046210001","046210","에이치엘비파나진","HLB파나진","HLB PANAGENE","2000/08/16","KOSDAQ","주권","벤처기업부","보통주","500","41014527"
"KR7239610009","239610","에이치엘사이언스","에이치엘사이언스","HLSCIENCE Co., LTD","2016/10/28","KOSDAQ","주권","우량기업부","보통주","500","5392115"
"KR7462020009","462020","에이치엠씨아이비제6호기업인수목적","에이치엠씨제6호스팩","HMCIB No.6 Special Purpose Acquisition Company","2023/10/13","KOSDAQ","주권","SPAC(소속부없음)","보통주","100","4345000"
"KR7011200003","011200","에이치엠엠보통주","HMM","HMM","1995/10/05","KOSPI","주권",,"보통주","5000","689039496"
"KR7148930001","148930","에이치와이티씨","에이치와이티씨","HYTC CO., LTD","2022/08/09","KOSDAQ","주권","중견기업부","보통주","500","10175213"
"KR7044780005","044780","에이치케이","에이치케이","HK CO., LTD.","2000/09/07","KOSDAQ","주권","벤처기업부","보통주","500","18505787"
"KR7195940002","195940","에이치케이이노엔","HK이노엔","HK inno.N Corporation","2021/08/09","KOSDAQ GLOBAL","주권","중견기업부","보통주","500","28329891"
"KR7403870009","403870","에이치피에스피","HPSP","HPSP Co., Ltd.","2022/07/15","KOSDAQ","주권","중견기업부","보통주","500","82934144"
"KR7357230002","357230","에이치피오","에이치피오","H.PIO Co.,Ltd","2021/05/14","KOSDAQ","주권","중견기업부","보통주","500","42089487"
"KR7355690009","355690","에이텀","에이텀","ATUM CO., LTD.","2023/12/01","KOSDAQ","주권","기술성장기업부","보통주","500","5397220"
"KR7071670004","071670","에이테크솔루션","에이테크솔루션","A-Tech Solution CO., LTD.","2009/04/17","KOSDAQ","주권","우량기업부","보통주","500","10000000"
"KR7045660008","045660","에이텍","에이텍","ATEC CO.,Ltd","2001/05/24","KOSDAQ","주권","우량기업부","보통주","500","8260000"
"KR7224110007","224110","에이텍모빌리티","에이텍모빌리티","ATEC MOBILITY","2015/08/25","KOSDAQ","주권","중견기업부","보통주","500","5340000"
"KR7021080007","021080","에이티넘인베스트먼트","에이티넘인베스트","Atinum Investment Co., Ltd","1991/07/12","KOSDAQ","주권","우량기업부","보통주","500","48000000"
"KR7089530000","089530","에이티세미콘","에이티세미콘","AT semicon Co., Ltd.","2011/11/11","KOSDAQ","주권","관리종목(소속부없음)","보통주","500","96494927"
"KR7200470003","200470","에이팩트","에이팩트","APACT Co., Ltd.","2014/12/26","KOSDAQ","주권","벤처기업부","보통주","500","42362093"
"KR7207490004","207490","에이펙스인텍","에이펙스인텍","APEX INTEC","2018/11/28","KONEX","주권","일반기업부","보통주","500","3600000"
"KR7262260003","262260","에이프로","에이프로","A PRO Co., LTD","2020/07/16","KOSDAQ","주권","우량기업부","보통주","500","14468152"
"KR7003060001","003060","에이프로젠바이오로직스보통주","에이프로젠바이오로직스","Aprogen Biologics","1984/10/19","KOSPI","주권",,"보통주","500","66575468"
"KR7007460009","007460","에이프로젠보통주","에이프로젠","Aprogen","1995/07/08","KOSPI","주권",,"보통주","500","264837258"
"KR7397030008","397030","에이프릴바이오","에이프릴바이오","AprilBio Co.,Ltd.","2022/07/28","KOSDAQ","주권","기술성장기업부","보통주","1000","21721650"
"KR7244920005","244920","에이플러스에셋보통주","에이플러스에셋","A Plus Asset","2020/11/20","KOSPI","주권",,"보통주","500","22607693"
"KR7265520007","265520","에이피시스템","AP시스템","Advanced Process Systems Corporation","2017/04/07","KOSDAQ","주권","우량기업부","보통주","500","15281421"
"KR7278470000","278470","에이피알보통주","에이피알","APR","2024/02/27","KOSPI","주권",,"보통주","500","7620178"
"KR7054620000","054620","에이피에스","APS","APS","2001/12/04","KOSDAQ","주권","중견기업부","보통주","500","19894221"
"KR7211270004","211270","에이피위성","AP위성","Asia Pacific Satellite Inc.","2016/03/04","KOSDAQ","주권","벤처기업부","보통주","500","15082304"
"KR7109960005","109960","에이피헬스케어","AP헬스케어","AP Healthcare","2009/11/13","KOSDAQ","주권","중견기업부","보통주","500","114152276"
"KR7230240004","230240","에치에프알","에치에프알","HFR, Inc.","2015/12/16","KOSDAQ","주권","우량기업부","보통주","500","13489026"
"KR7230360000","230360","에코마케팅","에코마케팅","ECHOMARKETING Co.,Ltd.","2016/08/08","KOSDAQ GLOBAL","주권","우량기업부","보통주","100","32068029"
"KR7038870002","038870","에코바이오홀딩스","에코바이오","EcoBio Holdings Co., Ltd.","2001/05/29","KOSDAQ","주권","중견기업부","보통주","500","14014949"
"KR7097780001","097780","에코볼트","에코볼트","Eco Volt","2008/01/23","KOSDAQ","주권","중견기업부","보통주","1000","67730338"
"KR7448280008","448280","에코아이","에코아이","ECOEYE CO., LTD.","2023/11/21","KOSDAQ","주권","중견기업부","보통주","500","9877043"
"KR7101360006","101360","에코앤드림","에코앤드림","Eco&Dream","2020/07/30","KOSDAQ","주권","벤처기업부","보통주","500","11455283"
"KR7128540002","128540","에코캡","에코캡","ECOCAB CO., LTD.","2018/12/05","KOSDAQ","주권","벤처기업부","보통주","100","26690460"
"KR7086520004","086520","에코프로","에코프로","ECOPRO CO., LTD","2007/07/20","KOSDAQ","주권","우량기업부","보통주","100","133138340"
"KR7450080007","450080","에코프로머티보통주","에코프로머티","ECOPRO MATERIALS","2023/11/17","KOSPI","주권",,"보통주","500","68985218"
"KR7247540008","247540","에코프로비엠","에코프로비엠","ECOPRO BM CO., LTD.","2019/03/05","KOSDAQ GLOBAL","주권","우량기업부","보통주","500","97801344"
"KR7383310000","383310","에코프로에이치엔","에코프로에이치엔","ECOPRO HN CO., LTD","2021/05/28","KOSDAQ","주권","중견기업부","보통주","500","15304932"
"KR7038110003","038110","에코플라스틱","에코플라스틱","ECOPLASTIC CORPORATION","2000/03/23","KOSDAQ","주권","우량기업부","보통주","500","41169370"
"KR7073540007","073540","에프알텍","에프알텍","FRTEK CO., LTD.","2007/05/18","KOSDAQ","주권","투자주의환기종목(소속부없음)","보통주","500","11400000"
"KR7064850001","064850","에프앤가이드","에프앤가이드","FnGuide Inc.","2020/12/17","KOSDAQ","주권","벤처기업부","보통주","500","12080000"
"KR7214270001","214270","에프에스엔","FSN","FSN","2015/03/25","KOSDAQ","주권","중견기업부","보통주","500","33250463"
"KR7036810000","036810","에프에스티","에프에스티","FINE SEMITECH Corp.","2000/01/18","KOSDAQ","주권","우량기업부","보통주","500","21756789"
"KR7173940008","173940","에프엔씨엔터테인먼트","에프엔씨엔터","FNC ENTERTAINMENT Co., Ltd.","2014/12/04","KOSDAQ","주권","중견기업부","보통주","500","15392808"
"KR7083500009","083500","에프엔에스테크","에프엔에스테크","FNS TECH. Co.,Ltd.","2017/02/27","KOSDAQ","주권","벤처기업부","보통주","500","8575722"
"KR7446440000","446440","에피바이오텍","에피바이오텍","Epi Biotech","2023/07/31","KONEX","주권","일반기업부","보통주","500","2297504"
"KR7054940002","054940","엑사이엔씨","엑사이엔씨","EXA E&C, Inc","2001/12/13","KOSDAQ","주권","중견기업부","보통주","500","33173548"
