시장구분,업종명,시가총액,종목코드,날짜,주식 종류,PER,PBR,PCR,PSR
KOSPI,음식료품,497030918400,005610,20240329,보통주,10.75437,1.21091,4.39039,0.15733
KOSPI,유통업,272647578330,011810,20240329,보통주,-7.00634,4.53935,-5.78155,0.39178
KOSPI,운수창고업,59017593360,465770,20240329,보통주,20.56258,2.90475,53.9748,1.04392
KOSPI,기계,298425484880,077970,20240329,보통주,57.65094,1.26184,-24.68404,0.51989
KOSPI,기계,330068853640,071970,20240329,보통주,10.55768,1.48226,9.18404,1.3634
KOSPI,종이목재,31141732830,002820,20240329,보통주,-0.19551,0.12738,-3.27917,0.07132
KOSPI,섬유의복,35769444585,084870,20240329,보통주,5.48973,0.58673,3.51832,0.18761
KOSPI,철강금속,1557093601800,002710,20240329,보통주,-197.25796,6.67577,265.10693,2.44921
KOSPI,화학,813892687080,069260,20240329,보통주,6.52116,0.98158,3.96672,0.8349
KOSPI,기계,243275162400,002900,20240329,보통주,4.11541,0.61757,16.50696,0.2973
KOSPI,화학,39235681280,024070,20240329,보통주,-83.63132,0.35859,6.8039,0.3541
KOSPI,서비스업,283529462700,037270,20240329,보통주,12.89683,1.70827,14.76686,1.24228
KOSPI,전기전자,213012536700,000500,20240329,보통주,7.74558,0.45656,7.15234,0.09251
KOSPI,화학,157300000000,000860,20240329,보통주,8.1662,0.22094,2.0508,0.21114
KOSPI,서비스업,3485090745000,035250,20240329,보통주,10.04125,0.88198,10.13189,2.46516
KOSPI,서비스업,68598613560,011420,20240329,보통주,27.1454,0.97118,10.48005,2.20312
KOSPI,화학,196787556000,002100,20240329,보통주,10.49736,0.75087,12.69313,0.5715
KOSPI,전기전자,773592235200,009450,20240329,보통주,8.26997,1.16692,3.48412,0.57098
KOSPI,전기가스업,114252968280,267290,20240329,보통주,3.74647,0.27246,-10.38929,0.06372
KOSPI,기타금융,197242918200,012320,20240329,보통주,8.04027,0.31914,7.89661,0.51229
KOSPI,유통업,230014115300,000050,20240329,보통주,-18.01142,0.29842,5.24598,0.61586
KOSPI,의약품,177867038400,214390,20240329,보통주,67.43495,1.38923,41.40489,0.92707
KOSPI,화학,150859323125,012610,20240329,보통주,-14.91745,0.70377,6.11483,0.46387
KOSPI,전기전자,34400454300,009140,20240329,보통주,5.78378,0.39272,-278.9352,1.58297
KOSPI,건설업,125836479630,013580,20240329,보통주,2.73165,0.16036,5.87827,0.04335
KOSPI,기계,47122716999,012200,20240329,보통주,-42.36419,0.43609,5.27713,0.14039
KOSPI,기계,4612016655,012205,20240329,우선주,-42.36419,0.43609,5.27713,0.14039
KOSPI,음식료품,78434491625,002140,20240329,보통주,23.13068,0.72225,4.32922,0.24544
KOSPI,철강금속,9450681776000,010130,20240329,보통주,19.06109,1.10335,12.24342,1.03562
KOSPI,철강금속,528750000000,002240,20240329,보통주,7.10283,0.30244,2.78191,0.2837
KOSPI,의약품,381099586770,009290,20240329,보통주,10.53648,0.54681,-33.20319,0.25718
KOSPI,전기전자,108344037500,017040,20240329,보통주,10.03971,0.83145,-6.2192,0.63439
KOSPI,전기전자,132401498455,017900,20240329,보통주,-126.24735,0.45494,6.5785,0.96338
KOSPI,유통업,245877171000,037710,20240329,보통주,4.96311,0.29188,3.84432,1.3337
KOSPI,증권,578931841880,030610,20240329,보통주,5.96455,0.29761,-0.27055,0.10766
KOSPI,유통업,203357875600,339770,20240329,보통주,12.94168,0.99402,9.12931,0.41717
KOSPI,화학,339249692400,007690,20240329,보통주,47.90428,0.40931,3.22795,0.28129
KOSPI,유통업,40784675867,005320,20240329,보통주,-6.19925,0.51921,17.79364,0.23494
KOSPI,운수창고업,28889546080,001140,20240329,보통주,-0.74445,0.85145,-4.10465,0.49338
KOSPI,의약품,125054607120,002720,20240329,보통주,-14.88573,1.4114,35.0377,0.92534
KOSPI,화학,184800000000,083420,20240329,보통주,48.14565,1.30227,7.43177,0.57121
KOSPI,화학,134421614100,014530,20240329,보통주,10.2499,0.72089,15.77003,0.13069
KOSPI,철강금속,166590747760,014280,20240329,보통주,4.42735,0.39634,3.44135,0.19832
KOSPI,철강금속,5373761250,014285,20240329,우선주,4.42735,0.39634,3.44135,0.19832
KOSPI,비금속광물,67700000000,008870,20240329,보통주,-11.93083,0.827,6.46042,0.32236
KOSPI,화학,6710584277200,001570,20240329,보통주,-105.02745,32.33369,424.56554,41.69588
KOSPI,건설업,163334889900,002990,20240329,보통주,174.44207,0.39905,-1.25085,0.08717
KOSPI,건설업,3559799880,002995,20240329,우선주,174.44207,0.39905,-1.25085,0.08717
KOSPI,화학,3876774808200,011780,20240329,보통주,9.57467,0.60009,6.78314,0.67665
KOSPI,화학,202573562000,011785,20240329,우선주,9.57467,0.60009,6.78314,0.67665
KOSPI,운수장비,134989301447,214330,20240329,보통주,-6.19714,0.39275,-20.85075,0.34462
KOSPI,전기전자,27642240873,001210,20240329,보통주,-1.69788,1.44654,-13.27798,0.52769
KOSPI,화학,1691963090430,073240,20240329,보통주,9.81362,1.22459,3.06503,0.38312
KOSPI,기계,87892000000,092440,20240329,보통주,23.47247,0.40926,-18.55652,0.7116
KOSPI,운수장비,44305271170600,000270,20240329,보통주,4.59342,0.8511,3.56891,0.40394
KOSPI,은행,10765249231500,024110,20240329,보통주,3.54254,0.29875,-4.07658,0.33041
KOSPI,건설업,70031186280,013700,20240329,보통주,28.91683,0.87519,46.36046,0.27043
KOSPI,종이목재,89191459735,004540,20240329,보통주,-2.95669,0.43092,2.66334,0.17713
KOSPI,종이목재,5243411200,004545,20240329,우선주,-2.95669,0.43092,2.66334,0.17713
KOSPI,건설업,62043529320,001260,20240329,보통주,12.5768,0.66574,-3.11427,0.13752
KOSPI,철강금속,246411982810,008350,20240329,보통주,-1155.3274,1.00507,109.06118,0.98134
KOSPI,철강금속,6157800000,008355,20240329,우선주,-1155.3274,1.00507,109.06118,0.98134
KOSPI,유통업,69020376960,004270,20240329,보통주,-7.95808,0.64538,-20.52537,1.159
KOSPI,음식료품,416160000000,003920,20240329,보통주,-8.22303,0.78732,-14.40573,0.55356
KOSPI,음식료품,85800000000,003925,20240329,우선주,-8.22303,0.78732,-14.40573,0.55356
KOSPI,화학,362655553900,025860,20240329,보통주,30.7217,0.69538,3.60895,0.23149
KOSPI,화학,222742944320,005720,20240329,보통주,5.71638,0.18885,0.77391,0.07839
KOSPI,화학,10909818000,005725,20240329,우선주,5.71638,0.18885,0.77391,0.07839
KOSPI,화학,813573415410,002350,20240329,보통주,8.14764,0.48656,3.46279,0.30999
KOSPI,화학,21320000000,002355,20240329,우선주,8.14764,0.48656,3.46279,0.30999
KOSPI,철강금속,195535040000,092790,20240329,보통주,1.30897,0.41842,-9.72963,0.274
KOSPI,서비스업,5337712474200,251270,20240329,보통주,-19.53253,0.95599,-50.89856,1.99592
KOSPI,화학,193800000000,090350,20240329,보통주,6.79251,0.50573,3.10547,0.24251
KOSPI,화학,6530076600,090355,20240329,우선주,6.79251,0.50573,3.10547,0.24251
KOSPI,기타금융,154177351600,000320,20240329,보통주,6.09183,0.2907,1.59075,0.1277
KOSPI,기타금융,8110514700,000325,20240329,우선주,6.09183,0.2907,1.59075,0.1277
KOSPI,의약품,1417577059400,006280,20240329,보통주,-55.07181,1.10161,-267.99041,0.90165
KOSPI,서비스업,808414929900,005250,20240329,보통주,-14.96277,0.75727,-20.42704,0.39361
KOSPI,서비스업,24364512000,005257,20240329,우선주,-14.96277,0.75727,-20.42704,0.39361
KOSPI,음식료품,2241453577000,004370,20240329,보통주,14.40122,0.96844,7.56557,0.72587
KOSPI,기타금융,309804372000,072710,20240329,보통주,4.47582,0.26773,-17.96427,0.39055
KOSPI,기계,71089788765,058730,20240329,보통주,5.81366,0.51507,4.59311,0.21803
KOSPI,증권,200702094270,030210,20240329,보통주,-25.07088,0.38946,-0.39883,0.18064
KOSPI,서비스업,917522317650,023590,20240329,보통주,3.552,0.30647,-0.39159,0.08145
KOSPI,기계,105017634510,145210,20240329,보통주,-3.36443,1.85539,-58.90187,1.35829
KOSPI,서비스업,221921467000,019680,20240329,보통주,-2.8739,0.68996,22.43185,0.40879
KOSPI,서비스업,30597509250,019685,20240329,우선주,-2.8739,0.68996,22.43185,0.40879
KOSPI,유통업,89386506860,006370,20240329,보통주,-3.30986,0.38248,-3.74247,1.45155
KOSPI,기타금융,214863551000,008060,20240329,보통주,17.54362,0.36917,0.8858,0.17534
KOSPI,기타금융,8959318230,00806K,20240329,우선주,17.54362,0.36917,0.8858,0.17534
KOSPI,전기전자,1213185508750,353200,20240329,보통주,54.90667,1.60469,7.70909,1.53181
KOSPI,전기전자,20515131010,35320K,20240329,우선주,54.90667,1.60469,7.70909,1.53181
KOSPI,기계,347432677400,000490,20240329,보통주,24.7709,0.89245,-2.40162,0.30406
KOSPI,전기전자,66194720570,008110,20240329,보통주,10.00203,0.33114,6.5978,2.22093
KOSPI,비금속광물,63604595600,005750,20240329,보통주,-13.0759,0.39587,3.29993,0.22822
KOSPI,기계,45979500000,006570,20240329,보통주,-5.6865,0.63468,-14.27067,0.31083
KOSPI,음식료품,672171685000,001680,20240329,보통주,11.14182,0.56573,1.99386,0.18195
KOSPI,음식료품,23581537830,001685,20240329,우선주,11.14182,0.56573,1.99386,0.18195
KOSPI,기타금융,349450991700,084690,20240329,보통주,23.46424,0.66649,1.53502,0.0941
KOSPI,기타금융,17803764180,084695,20240329,우선주,23.46424,0.66649,1.53502,0.0941
KOSPI,유통업,168728332940,128820,20240329,보통주,-25.59726,0.22507,2.42051,0.10071
KOSPI,전기가스업,226050000000,117580,20240329,보통주,14.94919,0.69092,11.08008,0.2234
KOSPI,서비스업,151240914600,016710,20240329,보통주,1.04934,0.3849,-103.17182,0.13262
KOSPI,증권,794095976000,003540,20240329,보통주,9.28441,0.31917,-0.44274,0.32192
KOSPI,증권,139700000000,003547,20240329,우선주,9.28441,0.31917,-0.44274,0.32192
KOSPI,증권,377520000000,003545,20240329,우선주,9.28441,0.31917,-0.44274,0.32192
KOSPI,철강금속,91352736750,009190,20240329,보통주,-1.41551,0.5785,3.59094,0.27218
KOSPI,종이목재,176791509419,014160,20240329,보통주,15.53745,0.62001,8.47773,0.4344
KOSPI,건설업,1539881873790,047040,20240329,보통주,3.36666,0.42095,-2.06857,0.1479
KOSPI,운수장비,62117710200,009320,20240329,보통주,282.50597,2.36833,17.86841,0.57205
KOSPI,의약품,1174467996000,003090,20240329,보통주,7.86448,0.90329,5.8381,0.66193
KOSPI,의약품,1405451547500,069620,20240329,보통주,11.11653,1.7515,9.95018,0.98399
KOSPI,운수장비,318680000000,000430,20240329,보통주,11.00917,0.66256,6.2156,0.30475
KOSPI,전기전자,105356077776,006340,20240329,보통주,8.97727,0.86017,-14.65909,0.16743
